id,name,short_name,organizer,organizer_url,edition_url,areas,tags,start_date,end_date,format,city,region_name,country,venue,lat,lon,description,deadlines,confidence,notes,sources
wcpg-2026,World Congress of Psychiatric Genetics 2026,WCPG 2026,International Society of Psychiatric Genetics,https://ispg.net/,https://ispg.net/wcpg-2026/,psychiatry,genetics; biological-psychiatry; international,2026-09-29,2026-10-03,in-person,Glasgow,Scotland,GB,Scottish Event Campus (SEC),55.8607,-4.288,"WCPG 2026 takes place September 29 to October 3, 2026, at the Scottish Event Campus in Glasgow under the theme Understanding Today, Translating Tomorrow. Abstract and early career award deadlines passed in spring 2026; registration is open.",Symposium chair submission = 2026-03-19; Symposium participant submission = 2026-03-26; Oral and poster abstract submission = 2026-05-14; Early Career Investigator Program award application = 2026-05-14; Accepted speaker registration = 2026-07-01,high,"No location or dates for WCPG 2027 are published on ispg.net as of September 2026, so no 2027 entry is included.",https://ispg.net/wcpg-2026/; https://ispg.net/; https://www.emedevents.com/c/medical-conferences-2026/world-congress-of-psychiatric-genetics-wcpg-2026
wms-congress-2026,World Muscle Society 31st International Annual Congress 2026,WMS 2026,World Muscle Society,https://www.worldmusclesociety.org,https://www.wms2026.com/,neurology; neuroscience,neuromuscular,2026-09-29,2026-10-03,,Hiroshima,Hiroshima Prefecture,JP,,34.3853,132.4553,"The World Muscle Society Congress is the society's annual international meeting on neuromuscular disorders. The 2026 congress is the 31st edition and is being held in Hiroshima, Japan.",,medium,Abstract submission and registration deadline pages on wms2026.com could not be read directly (site presented a login/navigation shell rather than deadline text); venue within Hiroshima was not found. Dates and city are confirmed on the parent worldmusclesociety.org site.,https://www.worldmusclesociety.org/m/events/view/wms-31-hiroshima-japan; https://www.wms2026.com/
isam-annual-2026,28th Annual Global ISAM Congress (ISAM 2026),ISAM 2026,International Society of Addiction Medicine (ISAM),https://isamweb.org/,https://www.isam2026rotterdam.org/,addiction-medicine; psychiatry,addiction; general-psychiatry; international; global,2026-10-01,2026-10-03,in-person,Rotterdam,South Holland,NL,De Doelen,51.9198,4.4736,"The International Society of Addiction Medicine holds its 28th annual global congress in Rotterdam, Netherlands, from October 1 to 3, 2026, at the De Doelen venue. The program is organized around the theme of improving addiction treatment outcomes by addressing established and emerging challenges in the field.",Abstract submission opens = 2025-10-01 (estimated); Abstract submission = 2026-03-31; Abstract notification of review outcomes = 2026-06-01 (estimated); Early registration = 2026-06-30; Travel award application = 2026-06-01; Registration deadline for presenting authors = 2026-07-01; Late-breaking poster submission opens = 2026-07-01; Late-breaking abstract submission = 2026-09-01; Late-breaking presenter registration deadline = 2026-09-20,high,"Minor discrepancy between the official congress site (isam2026rotterdam.org, abstract deadline 31 March 2026, weekday-consistent) and the parent society page (isamweb.org/annual/, which states 21 March 2026). The 31 March 2026 date was used as primary. Maintainer should periodically recheck isam2026rotterdam.org for corrections.",https://www.isam2026rotterdam.org/; https://www.isam2026rotterdam.org/abstract-information/; https://www.isam2026rotterdam.org/registration/; https://isamweb.org/annual/
aap-nce-2026,2026 AAP National Conference & Exhibition,AAP NCE 2026,American Academy of Pediatrics,https://www.aap.org,https://aapexperience.org/,pediatrics,pediatrics; education; community; primary-care,2026-10-02,2026-10-06,hybrid,San Diego,California,US,San Diego Convention Center,32.7062,-117.1611,"The American Academy of Pediatrics hosts its annual National Conference and Exhibition for pediatricians, pediatric subspecialists, residents and other child health professionals. The 2026 edition is held at the San Diego Convention Center with in person and virtual attendance options.",Abstract submission opens = 2026-02-06; Abstract submission deadline = 2026-04-10; Registration opens for members = 2026-05-01; Registration opens for nonmembers = 2026-05-08; Early registration deadline = 2026-08-21,medium,"The primary aapexperience.org domain returned HTTP 503 to direct automated fetches during this research session; the archive.aapexperience.org mirror was fetchable directly and corroborated the dates. Deadline details for this 2026 edition (all in the past relative to today, 2026-09-10) were obtained from search engine snippets of the official pages rather than direct page fetches, so confidence is medium rather than high.",https://archive.aapexperience.org/future-dates/; https://publications.aap.org/aapnews/news/34822/Registration-opens-for-the-2026-AAP-National; https://aapexperience.org/conference-registration/; https://aapexperience.org/abstracts/
illinois-psychiatric-society-annual-2026,Illinois Psychiatric Society Annual Meeting 2026,IPS Annual Meeting 2026,Illinois Psychiatric Society,https://www.illinoispsychiatricsociety.org/,https://www.illinoispsychiatricsociety.org/events-awardsupcoming-events-1/annual-meeting-2026,psychiatry,general-psychiatry; illinois,2026-10-03,2026-10-03,in-person,Countryside,Illinois,US,William Tell Hotel (formerly Holiday Inn Countryside),41.7965,-87.8783,"One day scientific meeting of the APA district branch for Illinois, held in the Chicago suburbs with a themed program, a trainee poster competition and an awards dinner. The 2026 theme is The Elephant in the Waiting Room: Confronting Today's Psychiatric Challenges.",Early bird registration = 2026-08-28; Registration cancellation deadline = 2026-09-15; Standard registration deadline = 2026-09-18,high,"No separate APA Area 4 or Illinois resident research poster event was found; the IPS poster competition at the annual meeting is the Illinois trainee poster venue, and IPS hosts a networking Meet and Greet at the APA Annual Meeting. For 2027, expect a similar late summer poster deadline and a September or October meeting date; nothing published yet. Coordinates are approximate for the hotel at Joliet Road, Countryside.",https://www.illinoispsychiatricsociety.org/events-awardsupcoming-events-1/annual-meeting-2026; https://www.illinoispsychiatricsociety.org/events-awardsupcoming-events-1/poster-session-at-the-ips-annual-meeting-gnhs2-e94ks-gp6r9; https://www.illinoispsychiatricsociety.org/events-awardsupcoming-events-1
mds-congress-2026,MDS International Congress of Parkinson's Disease and Movement Disorders 2026,MDS Congress 2026,International Parkinson and Movement Disorder Society (MDS),https://www.movementdisorders.org,https://www.mdscongress.org/,neurology,movement-disorders,2026-10-04,2026-10-08,in-person,Seoul,,KR,COEX Convention and Exhibition Center,37.5115,127.0595,"The International Congress of Parkinson's Disease and Movement Disorders is the annual scientific meeting of the International Parkinson and Movement Disorder Society, covering research and clinical care in Parkinson's disease and other movement disorders. The 2026 congress is scheduled for October 4 to 8, 2026, at the COEX Convention and Exhibition Center in Seoul, South Korea, and has not yet concluded as of September 10, 2026.",Abstract submission opens = 2025-12-15; Abstract submission deadline = 2026-03-15,high,"Congress dates and venue for 2026 are confirmed directly on official mdscongress.org pages. Notification date is stated only as 'May 2026' without a specific day, so it is not listed as a discrete deadline. Late-breaking abstract original submission window dates could not be found on the current site (only a closure notice and a later presentation-upload deadline were available) and are left out rather than guessed.",https://www.mdscongress.org/About/Past-future; https://www.mdscongress.org/; https://www.mdscongress.org/Abstracts/Submissions; https://www.mdscongress.org/Abstracts/Late-breaking
acep-scientific-assembly-2026,ACEP26 Scientific Assembly,ACEP26,American College of Emergency Physicians,https://www.acep.org,https://www.acep.org/sa,emergency-medicine,emergency-medicine,2026-10-05,2026-10-08,,Chicago,Illinois,US,McCormick Place,41.8517,-87.6167,The ACEP Scientific Assembly is the American College of Emergency Physicians' annual educational meeting for emergency medicine. ACEP26 takes place at McCormick Place in Chicago and includes the ACEP Research Forum.,Research Forum abstract submission opens = 2026-03-04,high,The Research Forum abstract submission closing date could not be found on acep.org pages that were accessible; only the opening date is confirmed.,https://www.acep.org/sa; https://www.acep.org/sa/education/acep26-rf
wcap-world-congress-asian-psychiatry-2026,11th World Congress of Asian Psychiatry (WCAP 2026),WCAP 2026,Asian Federation of Psychiatric Associations,https://www.afpa.asia/,https://www.wcap2026.jp/,psychiatry,general-psychiatry; international; cultural,2026-10-06,2026-10-08,,Sapporo,Hokkaido,JP,"Hokkaido University, Clark Memorial Student Center",43.0796,141.3373,"The 11th World Congress of Asian Psychiatry is organized by the Asian Federation of Psychiatric Associations in partnership with the World Psychiatric Association at Hokkaido University under the theme Harmonization between Urbanization and Nature in Future Mental Health. The programme includes keynote lectures, symposia, workshops and oral and poster presentations.",Symposium and workshop proposal submission opens = 2025-11-05; Symposium and workshop proposal submission = 2026-02-28; Abstract submission opens = 2025-12-25; Oral abstract submission = 2026-04-06; Poster abstract submission = 2026-04-30; Presenter registration = 2026-07-31; Early registration = 2026-08-16; Regular registration = 2026-09-15,high,Submission deadlines have passed; regular registration closes 15 September 2026. The 12th WCAP has not been announced.,https://www.wcap2026.jp/; https://www.wcap2026.jp/submission.html; https://www.wcap2026.jp/registration.html; http://afpa.asia/en/activity.html
uiuc-uic-psychiatry-research-forum-2026,UIC Department of Psychiatry 17th Annual Research Forum (Extravaganza) 2026,UIC Psychiatry Extravaganza 2026,"Department of Psychiatry, University of Illinois College of Medicine (UIC)",https://www.psych.uic.edu,https://www.psych.uic.edu/extravaganza,psychiatry,uiuc; general-psychiatry; student-resident-research; illinois,2026-10-07,2026-10-07,in-person,Chicago,Illinois,US,"COMRB Moss Auditorium, 909 S. Wolcott Ave, Chicago, IL",41.8708,-87.6505,"The Department of Psychiatry's annual Research Forum, known informally as the Extravaganza, is a Grand Rounds poster session in which department faculty, residents, fellows and students present psychiatric research for a competitive poster award. The 17th annual edition is scheduled for October 7, 2026, with abstract submissions opening September 2, 2026.",Abstract submission opens = 2026-09-02; Abstract submission deadline = 2026-09-30,medium,Direct HTTPS fetches of psych.uic.edu failed with a certificate error; all psych.uic.edu content used here was retrieved via the r.jina.ai text proxy. Two official-looking pages give slightly different abstract windows (September 2 to September 30 versus September 1 to October 15); the maintainer should verify directly before publishing the deadline.,https://www.psych.uic.edu/extravaganza; https://www.psych.uic.edu/events/grand-rounds; https://www.psych.uic.edu/extravaganza/poster-session
cfha-annual-2026,CFHA 2026 Annual Conference,CFHA 2026,Collaborative Family Healthcare Association,https://www.cfha.net,https://www.integratedcareconference.com/our-2026-conference/,psychiatry; psychology; family-medicine,integrated-care; behavioral; primary-care; health-services,2026-10-08,2026-10-10,,St. Louis,Missouri,US,,38.627,-90.1994,"The Collaborative Family Healthcare Association holds its annual Integrated Care Conference in St. Louis, Missouri. The program focuses on team based, whole person approaches that combine medicine and behavioral health.",,medium,Venue name and specific submission or registration deadlines were not found on the pages checked; only overall conference dates and city are confirmed. The registration portal at cfha.swoogo.com/2026_Annual_Conference should be checked directly for deadline specifics.,https://www.integratedcareconference.com/our-2026-conference/; https://www.cfha.net/event/cfha-annual-conference/
srp-annual-2026,Society for Research in Psychopathology 2026 Annual Meeting,SRP 2026,Society for Research in Psychopathology,https://psychopathology.org/,https://psychopathology.org/annual-meeting-2/,psychiatry,psychology; biological-psychiatry; schizophrenia; mood-disorders,2026-10-08,2026-10-11,in-person,Columbus,Ohio,US,Hyatt Regency Columbus,39.97,-83.0022,"The SRP 2026 Annual Meeting runs October 8 to 11, 2026, at the Hyatt Regency Columbus in Columbus, Ohio. Abstract submission, which requires SRP membership, closed April 20, 2026; registration is open.",Abstract submission = 2026-04-20; Early bird registration = 2026-08-23,high,An Ohio State football game is in Columbus the same weekend; the society advises booking early. Overflow hotel is the Sonesta Columbus Downtown.,https://psychopathology.org/annual-meeting-2/; https://psychopathology.org/annual-meeting/future-dates-and-locations/; https://psychopathology.org/annual-meeting/general-information/
aan-fall-conference-2026,2026 AAN Fall Conference,AAN Fall Conference 2026,American Academy of Neurology,https://www.aan.com,https://www.aan.com/events/fall-conference,neurology,education,2026-10-09,2026-10-11,hybrid,Las Vegas,Nevada,US,Caesars Palace,36.1162,-115.1745,"The AAN Fall Conference is a continuing medical education meeting from the American Academy of Neurology focused on practice updates rather than original research abstracts. The 2026 edition is held in Las Vegas at Caesars Palace and online, preceded by a one day Advanced Practice Provider conference on October 8.",Registration and housing open = 2026-06-22; Early registration deadline = 2026-08-13; Advance registration and hotel deadline = 2026-09-17,high,"This meeting has no call for abstracts; programming is invited faculty CME content, so no submission or notification deadlines exist. Only the 2026 edition is in scope per the assignment.",https://www.aan.com/events/fall-conference; https://www.aan.com/events/fall-conference/registration; https://www.aan.com/events/fall-conference/programs
aao-annual-2026,AAO 2026 Annual Meeting,AAO 2026,American Academy of Ophthalmology,https://www.aao.org,https://www.aao.org/annual-meeting,ophthalmology,ophthalmology; education,2026-10-09,2026-10-12,in-person,New Orleans,Louisiana,US,Ernest N. Morial Convention Center,29.9403,-90.0693,"AAO 2026 is the American Academy of Ophthalmology's annual meeting, held in New Orleans, Louisiana at the Ernest N. Morial Convention Center from October 9 to 12, 2026. This is the annual meeting of the American Academy of Ophthalmology, distinct from other organizations that share the AAO abbreviation.",Advance registration = 2026-09-09; Membership application deadline to register as a member = 2026-09-15; Abstract acceptance notification (published in Meeting Guide) = 2026-09-01,high,"This record is for the American Academy of Ophthalmology (aao.org), confirmed distinct from the American Academy of Otolaryngology or American Academy of Optometry. The original AAO 2026 abstract submission opening/deadline dates (likely set in late 2025 or early 2026) could not be verified because the live presenter dates page now only displays current and upcoming items for the next edition. The presenter dates page separately lists Subspecialty Day as October 9-10 and the main meeting as October 10-12, while the primary annual-meeting page states the main meeting spans October 9-12; the official annual-meeting page range was used.",https://www.aao.org/annual-meeting; https://www.aao.org/annual-meeting/presenter/dates
acg-annual-2026,ACG 2026 Annual Scientific Meeting,ACG 2026,American College of Gastroenterology,https://gi.org,https://acgmeetings.gi.org/,gastroenterology,gastroenterology; clinical-trials,2026-10-09,2026-10-14,hybrid,Nashville,Tennessee,US,Music City Center,36.159,-86.7775,"The ACG Annual Scientific Meeting is the American College of Gastroenterology's flagship clinical meeting on gastroenterology and hepatology. The 2026 meeting is held in Nashville, Tennessee, with on demand virtual access available afterward.",Abstract submission = 2026-06-01,high,"The late-breaking abstract deadline had already passed and was listed only as closed on the fetched page, without a specific date, so it is omitted rather than guessed. No 2027 ACG meeting information was found.",https://acgmeetings.gi.org/; https://acgmeetings.gi.org/abstracts/
ecnp-congress-2026,39th ECNP Congress 2026,ECNP 2026,European College of Neuropsychopharmacology,https://www.ecnp.eu/,https://www.ecnp.eu/congress2026/,psychiatry,psychopharmacology; neuroscience; international,2026-10-10,2026-10-13,hybrid,Munich,Bavaria,DE,ICM International Congress Center Messe Muenchen,48.1355,11.6975,"The 39th ECNP Congress takes place October 10 to 13, 2026, at the ICM in Munich. Abstract submission closed May 7, 2026, with no late breaking track, and standard fee registration remains open until October 9, 2026.",Abstract submission = 2026-05-07; Early fee registration = 2026-05-20; Abstract notification = 2026-07-15; Presenter registration = 2026-07-22; ePoster and poster upload = 2026-09-08; Standard fee registration = 2026-10-09; Onsite registration closes = 2026-10-13,high,"ECNP Excellence Awards exist for early career scientists but their deadline was not visible on the pages reviewed. Livestreamed sessions remain available to registrants until January 11, 2027.",https://www.ecnp.eu/congress2026/abstract/; https://www.ecnp.eu/congress2026/registration/registration-fees/; https://www.ecnp.eu/meetings/ecnp-congresses/; https://www.ecnp.eu/news/agenda-and-deadlines/
acrm-annual-2026,ACRM 2026 Annual Conference,ACRM 2026,American Congress of Rehabilitation Medicine,https://acrm.org,https://conference.acrm.org/,rehabilitation,rehabilitation; education,2026-10-12,2026-10-16,,Washington,District of Columbia,US,Washington Hilton,38.9128,-77.045,"The ACRM Annual Conference is the main scientific meeting of the American Congress of Rehabilitation Medicine. The 2026 edition takes place in Washington, D.C. from October 12 to 16 at the Washington Hilton.",,medium,"Dates and venue are high confidence from the official conference homepage. Submission wave deadlines and registration deadlines for 2026 could not be verified: the submission-deadlines page still shows what appears to be the prior (2025) cycle's now-closed dates despite a 2026 copyright footer, and the registration page rendered no deadline content for this fetch tool. Maintainer should recheck conference.acrm.org closer to the event.",https://conference.acrm.org/; https://conference.acrm.org/submission-deadlines/
ama-research-challenge-2026,2026 AMA Research Challenge,AMA Research Challenge 2026,American Medical Association,https://www.ama-assn.org,https://www.ama-assn.org/membership/events,medical-education,student-resident-research; education,2026-10-13,2026-10-15,virtual,,,,,,,"The American Medical Association runs its national Research Challenge, a poster competition for medical students and residents. The virtual poster symposium and semifinal round are held October 13 to 15, 2026, with the date of the final round not yet announced.",Abstract submission = 2026-07-16; Abstract submission extended = 2026-07-23,high,Both the abstract submission deadlines and the semifinal dates have already passed as of the research date; the final round date and format have not yet been announced.,https://www.ama-assn.org/membership/events; https://www.ama-assn.org/about/awards
child-neurology-society-annual-2026,55th Child Neurology Society Annual Meeting,Child Neurology Society 2026,Child Neurology Society,https://www.childneurologysociety.org/,https://www.childneurologysociety.org/colleagues/network/cns-annual-meeting/,neurology,pediatrics; child-adolescent; epilepsy,2026-10-14,2026-10-17,in-person,Montreal,Quebec,CA,Palais des congres de Montreal,45.5089,-73.5617,"The Child Neurology Society holds its 55th annual meeting in Montreal, Quebec, with scientific sessions and abstract presentations in pediatric neurology. A resident seminar on epilepsy precedes the main program on October 12 and 13.",Abstract submission = 2026-02-01; Abstract withdrawal deadline = 2026-07-31; Encore abstract eligibility cutoff = 2026-05-03,medium,"Meeting dates and venue are confirmed directly on the official site. The abstract deadline (Feb 1, 2026) is confirmed only via an official social media post since the abstracts page had already closed submissions by the time of access; no early/standard registration deadline could be located on the official site.",https://www.childneurologysociety.org/colleagues/network/cns-annual-meeting/; https://www.childneurologysociety.org/colleagues/network/2026-abstracts-and-posters/; https://x.com/ChildNeuroSoc/status/2017976355586032107
